ID_TRIAL ;ID_MOVEMENT ;STAGE;ID_STATION;TIME_STAMP ;TIME ;TASK_PART ;GOAL_POS_X ;GOAL_POS_Y ;GOAL_POS_Z ;FINAL_POS_X ;FINAL_POS_Y ;FINAL_POS_Z ;GOAL_ROT_QX ;GOAL_ROT_QY ;GOAL_ROT_QZ ;GOAL_ROT_QW ;FINAL_ROT_QX ;FINAL_ROT_QY ;FINAL_ROT_QZ ;FINAL_ROT_QW ;GOAL_EULER_AX ;GOAL_EULER_AY ;GOAL_EULER_AZ ;FINAL_EULER_AX ;FINAL_EULER_AY ;FINAL_EULER_AZ ;SHAPE;CONDITION
200119174614;175042N24;FIRST;0;17:50:43 19/01/20;222;2;0;0;0;0;0,78;-3,4;0;0,7071068;0;0,7071068;-7,275958E-12;0,7071068;1,091394E-11;0,7071068;0;90;0;-1,473899E-09;90;2,947798E-10;CYLINDER;SM_OO
200119174614;175043N25;FIRST;0;17:50:43 19/01/20;243;3;0;0;0;0,06623296;0,7799642;-3,089778;0;0,7071068;0;0,7071068;-1,818989E-11;0,7071068;7,275958E-12;-0,7071068;0;90;0;8,843396E-10;270;-2,063459E-09;CYLINDER;SM_OO
200119174614;175043N26;FIRST;0;17:50:43 19/01/20;564;4;0,21;0,78;-3;0,06623296;0,7799642;-3,089778;0;1;0;-4,371139E-08;-3,274181E-11;0,7071068;7,275958E-12;-0,7071068;0;180;0;2,063459E-09;270;-3,242578E-09;CYLINDER;SM_OO
200119174614;175049N27;FIRST;0;17:50:49 19/01/20;231;0;0;0;0;-0,21;0,78;-3;0;-4,371139E-08;0;-1;-0,0001377181;-0,1235096;-0,0001318213;-0,9923434;0;5,008956E-06;0;0,01379481;14,18939;0,0169391;BOOK;SM_OO
200119174614;175049N28;FIRST;0;17:50:49 19/01/20;150;1;0;0,78;-3,4;-0,2100001;0,78;-3;0;0,4061385;0;0,9138116;-0,0001377181;-0,1235096;-0,0001318213;-0,9923434;0;47,92498;0;0,01379481;14,18939;0,0169391;BOOK;SM_OO
200119174614;175049N29;FIRST;0;17:50:50 19/01/20;177;2;0;0;0;5,960464E-08;0,78;-3,4;0;0,4061385;0;0,9138116;7,275958E-12;0,4061385;0;0,9138116;0;47,92498;0;7,619026E-10;47,92498;3,386234E-10;BOOK;SM_OO
200119174614;175050N30;FIRST;0;17:50:50 19/01/20;198;3;0;0;0;-0,2579021;0,7799526;-3,079542;0;0,4061385;0;0,9138116;3,637979E-12;0,9138116;1,455192E-11;-0,4061385;0;47,92498;0;-1,693117E-09;227,925;-2,962955E-10;BOOK;SM_OO
200119174614;175050N31;FIRST;0;17:50:50 19/01/20;146;4;0,21;0,78;-3;-0,2579024;0,7799526;-3,079542;0;1;0;-4,371139E-08;3,637979E-12;0,9138116;1,455192E-11;-0,4061385;0;180;0;-1,693117E-09;227,925;-2,962955E-10;BOOK;SM_OO
200119174614;175101N32;FIRST;0;17:51:01 19/01/20;403;0;0;0;0;-0,21;0,78;-3;0;-4,371139E-08;0;-1;3,79866E-05;0,3922806;-0,0001140145;-0,9198456;0;5,008956E-06;0;0,001121151;313,807;0,01372545;BOOK;SM_OO
200119174614;175101N33;FIRST;0;17:51:01 19/01/20;156;1;0;0,78;-3,4;-0,2100001;0,7799999;-3;0;-0,4061385;0;0,9138116;3,79866E-05;0,3922806;-0,0001140145;-0,9198456;0;312,075;0;0,001121151;313,807;0,01372545;BOOK;SM_OO
200119174614;175101N34;FIRST;0;17:51:02 19/01/20;437;2;0;0;0;0;0,78;-3,4;0;-0,4061385;0;0,9138116;0;-0,4061385;0;0,9138116;0;312,075;0;0;312,075;0;BOOK;SM_OO
200119174614;175102N35;FIRST;0;17:51:02 19/01/20;220;3;0;0;0;-0,2135407;0,7799616;-2,996705;0;-0,4061385;0;0,9138116;1,091394E-11;0,9138116;0;0,4061384;0;312,075;0;5,07935E-10;132,075;1,142854E-09;BOOK;SM_OO
200119174614;175102N36;FIRST;0;17:51:03 19/01/20;368;4;0,21;0,78;-3;-0,2135408;0,7799616;-2,996704;0;1;0;-4,371139E-08;1,091394E-11;0,9138116;0;0,4061384;0;180;0;5,07935E-10;132,075;1,142854E-09;BOOK;SM_OO
200119174614;175108N37;FIRST;0;17:51:09 19/01/20;440;0;0;0;0;0,21;0,78;-3;0;-4,371139E-08;0;-1;-0,0001592238;-0,01680217;-2,713057E-06;-0,9998589;0;5,008956E-06;0;0,01823791;1,925478;0,0006174171;CYLINDER;SM_OO
200119174614;175109N38;FIRST;0;17:51:09 19/01/20;320;1;0;0,78;-3,4;0,21;0,78;-3;0;-0,7071068;0;0,7071068;-0,0001592238;-0,01680217;-2,713057E-06;-0,9998589;0;270;0;0,01823791;1,925478;0,000617417;CYLINDER;SM_OO
200119174614;175109N39;FIRST;0;17:51:10 19/01/20;367;2;0;0;0;7,450581E-09;0,78;-3,4;0;-0,7071068;0;0,7071068;0;-0,7071068;1,455192E-11;0,7071068;0;270;0;1,179119E-09;270;1,179119E-09;CYLINDER;SM_OO
200119174614;175110N40;FIRST;0;17:51:10 19/01/20;545;3;0;0;0;1,385433E-08;0,78;-3,4;0;0,7071068;0;-0,7071068;-2,910383E-11;0,7071069;2,910383E-11;0,7071068;0;270;0;-4,716478E-09;90,00001;-3,975693E-16;BOOK;SM_OO
200119174614;175110N41;FIRST;0;17:51:10 19/01/20;71;4;0,21;0,78;-3;5,855782E-08;0,78;-3,4;0;1;0;-4,371139E-08;-2,910383E-11;0,7071069;2,910383E-11;0,7071068;0;180;0;-4,716478E-09;90,00001;-3,975693E-16;BOOK;SM_OO
